2 1 533723 0 0 40 3 1 1 1 3 3 2 0 0 0 0 0 45 70 0 0 1 2 00000 00000 00000 0 1
1 1 534917 38.2 76 28 3 1 1 1 3 4 1 2 2 0 4 4 46 81 1 2 1 1 02112 00000 00000 0 1
2 1 535381 38.3 42 10 1 1 1 1 1 1 1 0 0 0 0 0 38 61 0 0 1 2 00000 00000 00000 0 1
2 1 529764 37.30 50 32 1 1 3 1 1 3 2 0 0 0 1 0 44.00 7.00 0 0 1 2 00000 00000 00000 0 1
1 1 527933 36.80 60 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.00 2 1 03205 00000 00000 1 0
2 1 527829 38.30 54 18 3 1 2 1 2 3 2 0 3 5.40 0 4 44.00 7.20 3 0 1 2 02124 00000 00000 1 0
2 1 528590 0 56 68 3 1 1 1 3 3 1 2 1 0 1 0 40.00 6.00 0 0 3 1 05206 00000 00000 0 1
1 1 529498 0 88 0 3 3 6 2 5 3 3 1 3 0 4 5 63.00 6.50 3 0 2 1 04205 00000 00000 0 1
1 1 528668 38.30 52 96 0 3 3 1 0 0 0 1 1 0 1 0 43.00 6.10 0 0 1 1 03209 00000 00000 1 0
1 9 5290759 38.10 100 80 3 1 2 1 3 4 1 0 0 0 1 0 36.00 5.70 0 0 1 1 03111 00000 00000 0 1
1 1 528638 37.70 120 28 3 3 3 1 5 3 3 1 1 0 0 0 65.00 7.00 3 0 2 1 04205 00000 00000 1 0
1 9 5287179 38.10 136 48 3 3 3 1 5 1 3 2 2 4.40 2 0 33.00 4.90 2 2.90 2 1 02205 00000 00000 1 0
2 1 529840 37.60 48 20 3 1 4 1 1 1 3 2 1 0 1 1 37.00 5.50 0 0 3 1 02205 00000 00000 0 1
1 1 527916 38.30 40 18 1 1 1 1 3 1 1 0 0 0 2 1 43.00 5.90 1 0 1 2 00000 00000 00000 1 0
2 1 534784 37.9 72 0 1 1 5 2 3 3 1 1 3 2 3 4 58 74 1 2 1 1 02322 00000 00000 0 1
2 1 530051 0 80 36 3 4 3 1 4 4 4 2 1 0 3 5 38.00 6.20 0 0 3 1 03205 00000 00000 0 1
2 1 528134 0 0 12 1 1 2 1 2 1 2 3 1 0 1 3 44.00 7.50 2 0 1 2 00000 00000 00000 1 0
2 1 528812 0 104 24 4 3 3 2 4 4 3 0 3 0 0 2 73.00 8.40 0 0 3 1 07111 00000 00000 0 1
1 1 535158 37.3 48 20 0 1 2 1 3 3 3 2 1 0 3 5 41 69 0 0 1 1 03205 00000 00000 0 1
1 1 529663 38.20 64 28 1 1 1 1 3 1 0 0 0 0 4 4 49.00 8.60 2 6.60 1 1 02208 00000 00000 1 0
1 1 5290481 37.60 64 21 1 1 2 1 2 3 1 1 1 0 2 5 40.00 7.00 1 0 1 1 04205 00000 00000 1 0
1 1 530384 38.70 0 0 3 1 3 1 5 4 2 0 0 0 0 0 33.00 6.50 2 0 1 1 31110 00000 00000 0 1
1 1 535137 38.5 96 30 2 3 4 2 4 4 3 2 1 0 3 5 50 65 0 0 1 1 06111 03112 00000 0 1
1 1 535364 38.2 40 16 3 3 1 1 1 3 0 0 0 0 1 1 34 66 0 0 1 2 00000 00000 00000 0 1
2 1 532110 39.4 110 35 4 3 6 0 0 3 3 0 0 0 0 0 55 8.7 0 0 1 2 00000 00000 00000 0 1
0 1 534572 38.0 48 20 3 1 3 1 4 3 1 2 1 0 3 5 43 73 2 1 0 1 03111 00000 00000 0 1
2 1 530319 0 84 36 0 0 3 1 0 3 1 2 1 0 3 2 44.00 8.50 0 0 1 1 03111 00000 00000 0 1
1 1 528298 0 0 20 4 3 3 0 5 4 3 2 0 0 4 4 53.00 5.90 3 0 2 1 03205 00000 00000 1 0
1 1 529607 0 60 0 3 0 0 1 0 4 2 2 1 0 3 4 44.00 8.30 0 0 2 1 02208 00000 00000 0 1
2 1 528996 38.60 52 20 1 1 1 1 3 3 2 1 1 0 1 3 36.00 6.60 1 5.00 1 2 00000 00000 00000 1 0
1 1 533942 38 66 20 1 3 3 1 5 3 1 1 1 0 3 0 46 46 3 2 3 1 06209 00000 00000 0 1
1 1 528630 37.80 88 22 2 1 2 1 3 0 0 2 0 0 4 0 64.00 8.00 1 6.00 2 1 03205 00000 00000 1 0
1 1 529126 38.00 50 36 0 1 1 1 3 2 2 0 0 0 3 0 39.00 6.60 1 5.30 1 1 08400 00000 00000 1 0
2 9 5305129 39.50 84 30 0 0 0 1 0 0 0 0 0 0 0 0 28.00 5.00 0 0 1 2 00000 00000 00000 0 1
2 1 528729 37.50 48 30 4 1 3 1 0 2 1 1 1 0 1 1 48.00 8.60 0 0 1 2 00000 00000 00000 0 1
2 1 530301 38.00 60 12 3 1 3 1 3 3 1 1 1 0 2 2 47.00 7.00 0 0 1 2 03111 00000 00000 0 1
2 1 529304 38.00 54 30 2 3 3 3 3 1 2 2 2 0 0 4 45.00 6.20 0 0 1 2 00400 00000 00000 0 1
1 1 535338 37.8 88 80 3 3 5 2 0 3 3 2 3 0 4 5 64 89 0 0 3 1 03205 00000 00000 0 1
1 1 5281091 38.40 92 20 1 0 0 2 0 3 3 0 0 0 1 0 0 0 0 0 1 1 02208 00000 00000 1 0
2 1 533793 38.9 44 14 3 1 1 1 2 3 2 0 0 0 0 2 33 64 0 0 1 2 00000 00000 00000 0 1
2 1 528931 38.40 54 24 1 1 1 1 1 3 1 2 1 0 3 2 49.00 7.20 1 0 1 2 03111 00000 00000 1 0
